dt,average
2017-01-01,3.95
2017-01-02,4.3
2017-01-03,3.85
2017-01-04,4.3
2017-01-05,4.1
2017-01-06,3.55
2017-01-07,2.45
2017-01-08,2.5
2017-01-09,3.05
2017-01-10,3.55
2017-01-11,3.8
2017-01-12,3.05
2017-01-13,2.95
2017-01-14,2.55
2017-01-15,2.4
2017-01-16,1.9
2017-01-17,2.1
2017-01-18,2.5
2017-01-19,2.7
2017-01-20,2.2
2017-01-21,1.85
2017-01-22,2.65
2017-01-23,3.45
2017-01-24,5.0
2017-01-25,9.1
2017-01-26,11.0
2017-01-27,11.9
2017-01-28,10.85
2017-01-29,9.6
2017-01-30,7.25
2017-01-31,5.9
2017-02-01,4.85
2017-02-02,4.0
2017-02-03,3.9
2017-02-04,2.9
2017-02-05,2.8
2017-02-06,2.75
2017-02-07,4.1
2017-02-08,5.65
2017-02-09,4.85
2017-02-10,5.05
2017-02-11,5.75
2017-02-12,6.35
2017-02-13,7.3
2017-02-14,8.25
2017-02-15,7.8
2017-02-16,7.35
2017-02-17,6.1
2017-02-18,5.0
2017-02-19,3.8
2017-02-20,3.35
2017-02-21,4.15
2017-02-22,6.65
2017-02-23,9.15
2017-02-24,10.9
2017-02-25,11.4
2017-02-26,11.8
2017-02-27,12.75
2017-02-28,11.9
2017-03-01,11.45
2017-03-02,10.35
2017-03-03,9.45
2017-03-04,8.1
2017-03-05,5.3
2017-03-06,4.55
2017-03-07,6.7
2017-03-08,7.4
2017-03-09,7.6
2017-03-10,7.35
2017-03-11,7.2
2017-03-12,6.8
2017-03-13,6.4
2017-03-14,6.05
2017-03-15,4.55
2017-03-16,3.3
2017-03-17,2.9
2017-03-18,2.3
2017-03-19,1.95
2017-03-20,2.2
2017-03-21,2.45
2017-03-22,2.95
2017-03-23,3.3
2017-03-24,5.3
2017-03-25,6.8
2017-03-26,7.9
2017-03-27,8.7
2017-03-28,9.55
2017-03-29,9.3
2017-03-30,8.45
2017-03-31,7.2
2017-04-01,6.35
2017-04-02,5.7
2017-04-03,4.8
2017-04-04,4.85
2017-04-05,4.9
2017-04-06,5.95
2017-04-07,6.2
2017-04-08,6.35
2017-04-09,6.85
2017-04-10,6.1
2017-04-11,4.95
2017-04-12,4.05
2017-04-13,3.05
2017-04-14,2.75
2017-04-15,2.35
2017-04-16,2.7
2017-04-17,2.75
2017-04-18,2.8
2017-04-19,2.6
2017-04-20,2.85
2017-04-21,2.9
2017-04-22,3.0
2017-04-23,3.4
2017-04-24,4.55
2017-04-25,5.3
2017-04-26,5.75
2017-04-27,6.1
2017-04-28,5.4
2017-04-29,4.6
2017-04-30,3.95
2017-05-01,3.35
2017-05-02,2.7
2017-05-03,2.45
2017-05-04,2.3
2017-05-05,2.2
2017-05-06,2.75
2017-05-07,3.7
2017-05-08,4.95
2017-05-09,5.45
2017-05-10,4.9
2017-05-11,3.35
2017-05-12,2.1
2017-05-13,1.75
2017-05-14,1.4
2017-05-15,1.1
2017-05-16,0.7
2017-05-17,0.6
2017-05-18,1.0
2017-05-19,1.8
2017-05-20,2.85
2017-05-21,3.35
2017-05-22,3.75
2017-05-23,4.0
2017-05-24,3.2
2017-05-25,2.1
2017-05-26,1.2
2017-05-27,0.85
2017-05-28,0.7
2017-05-29,0.7
2017-05-30,0.65
2017-05-31,0.5
2017-06-01,0.35
2017-06-02,0.35
2017-06-03,0.3
2017-06-04,0.5
2017-06-05,0.35
2017-06-06,0.25
2017-06-07,0.2
2017-06-08,0.3
2017-06-09,0.35
2017-06-10,0.3
2017-06-11,0.25
2017-06-12,0.35
2017-06-13,0.25
2017-06-14,0.25
2017-06-15,0.25
2017-06-16,0.2
2017-06-17,0.4
2017-06-18,1.0
2017-06-19,1.15
2017-06-20,1.2
2017-06-21,0.95
2017-06-22,0.45
2017-06-23,0.25
2017-06-24,0.15
2017-06-25,0.35
2017-06-26,0.55
2017-06-27,0.4
2017-06-28,0.25
2017-06-29,0.15
2017-06-30,0.15